,XLMiner : k-Means Clustering - Predicted Clusters,,,,,,,,,,,,Date: 03-Jul-2016 17:42:04,,
0,75,2,234807.4551,70364.33197,123867,0,3,1,1,25308,17,0,0,7759,0
0,76,2,229816.3898,75645.43022,129871,0,3,1,1,15776,22,0,0,7752,0
0,77,2,251236.0069,55730.02757,109380,0,1,1,1,7537,16,0,0,7749,0
0,78,2,247007.5789,59615.16653,111157,0,4,1,1,32883,19,0,0,7771,0
0,79,2,308720.6934,23610.93261,49238,0,4,1,1,38037,18,0,0,7801,1
0,80,2,320653.517,63702.29741,38896,0,5,1,1,76988,16,556,1,7771,1
0,81,2,353745.4763,53050.83112,4340,0,1,1,1,32685,5,0,0,7733,1
0,82,2,272885.2188,37035.35981,88443,0,1,1,1,1200,3,1200,3,6837,0
0,83,2,352181.2693,48277.39833,8454,0,1,1,1,498,9,0,0,6821,0
0,84,2,298975.1375,15930.8554,61990,0,1,1,1,1625,6,0,0,6833,0
0,85,2,336509.1717,33244.2648,24093,0,1,1,1,1750,7,0,0,6819,0
0,86,2,322776.7416,47296.0717,35418,0,5,1,1,58557,18,900,3,6813,1
0,87,2,319715.7609,16201.09641,40284,0,1,1,1,7719,5,0,0,6827,1
1,88,1,252646.8161,555198.0914,609477,0,3,1,1,21422,22,1200,8,6820,0
0,89,2,297608.8334,11568.36757,62553,0,2,1,1,7672,16,700,1,6819,0
0,90,2,312145.3052,13475.23116,48433,0,1,1,1,3500,4,500,1,6807,1
0,91,2,338103.3938,34641.93548,20508,0,1,1,1,22250,8,1250,5,6794,1
0,92,2,358403.2032,54078.89585,2000,0,1,1,1,2000,4,2000,4,6809,0
0,93,2,279365.9017,32498.67154,78629,0,4,1,1,36679,25,0,0,6817,1
0,94,2,217913.4396,89886.81916,143566,0,1,1,1,5000,5,1500,3,6785,1
0,95,2,184710.8797,162380.572,185549,0,5,1,1,110859,39,2950,16,6778,1
0,96,2,343610.4536,39624.46744,16796,0,1,1,1,2875,16,0,0,6773,0
0,97,2,303042.1153,10566.39638,57346,0,1,1,1,5560,23,0,0,6766,0
0,98,2,255826.1662,55902.83869,102062,0,4,1,1,44247,16,0,0,6758,0
0,99,2,338311.2057,35002.70941,22324,0,1,1,1,1375,4,0,0,6753,0
0,100,2,294063.1694,11914.74861,64824,0,3,1,1,20184,13,0,0,6770,1
0,101,2,333057.2316,51187.77637,25076,1182,5,1,1,57203,14,0,0,6750,1
0,102,2,352641.2635,48808.26415,8053,0,1,1,1,0,0,0,0,6750,1
0,103,2,325808.9832,24703.54416,35119,0,1,1,1,0,0,0,0,6749,0
0,104,2,331706.0679,28266.77962,28667,0,1,1,1,3861,7,2050,5,6749,1
0,105,2,326593.5816,25323.6154,34327,0,1,1,1,0,0,0,0,6745,0
0,106,2,354544.6091,68295.33042,3734,0,5,1,1,61096,18,150,2,6760,1
0,107,2,261302.1234,54239.38754,96627,1182,1,1,3,49059,26,2300,9,6738,1
0,108,2,317510.4186,18940.72568,43498,0,1,1,1,0,0,0,0,6759,1
0,109,2,273220.1575,43500.8147,84674,0,4,1,1,46335,14,50,1,6738,1
0,110,2,342979.5048,43085.11325,15098,0,4,1,1,32917,26,550,3,6737,1
0,111,2,178781.2997,126791.5463,181019,0,3,1,1,18415,15,0,0,7714,0
1,112,1,69065.31798,244720.9569,298911,0,1,1,1,8550,11,2550,8,7714,1
0,113,2,234746.2456,86721.70581,124198,0,5,1,1,66330,23,4833,10,7710,0
0,114,2,303957.8614,14029.34529,56906,0,1,1,1,2015,13,0,0,7707,1
1,115,1,73481.1056,241547.9552,295638,0,1,1,1,5422,20,818,2,7700,1
0,116,2,291642.8407,15439.05271,67018,0,3,1,1,23260,25,0,0,7698,0
0,117,2,217116.998,90074.12985,143967,0,2,1,1,7346,11,0,0,7689,0
1,118,1,613115.4057,915335.7535,969559,0,1,1,1,2500,3,1000,2,7718,1
0,119,2,236055.2529,69063.19917,122705,0,3,1,1,24222,15,0,0,7682,1
0,120,2,343856.6003,39977.88389,16583,0,1,1,1,2625,7,0,0,7682,1
0,121,2,283694.3218,27515.49012,77540,0,1,1,1,1000,1,0,0,7683,0
1,122,1,173492.2722,187495.1997,205126,0,5,1,1,126630,45,2250,10,7668,1
0,123,2,276008.6799,35512.15145,81974,0,4,1,1,37266,18,1050,3,7661,1
0,124,2,311254.3251,12370.15431,47258,0,3,1,1,24768,19,0,0,7659,1
0,125,2,280198.6249,36263.81931,77699,0,4,1,1,42775,13,0,0,7654,0
0,126,2,224039.2732,82805.03457,133954,500,4,1,1,37670,18,1500,3,7654,1
1,127,1,286762.3947,576406.731,602064,0,5,1,1,194753,26,2250,10,7652,1
1,128,1,145287.8376,164149.446,213150,0,4,1,1,56308,41,5200,14,7645,1
0,129,2,311447.2689,8376.113691,48333,0,2,1,1,10123,14,0,0,6737,1
0,130,2,215826.1158,90649.21023,142175,0,4,1,1,37461,22,0,0,6732,1
0,131,2,343302.3424,39993.651,17469,0,1,1,1,0,0,0,0,6730,1
0,132,2,340826.2884,37404.29031,19823,0,1,1,1,1095,3,335,1,6730,1
0,133,2,215907.8985,91088.16264,145074,0,1,1,1,8000,4,0,0,6746,1
0,134,2,258968.3524,47091.52047,101101,0,1,1,1,10850,11,1850,6,6725,1
0,135,2,233778.7793,71681.42535,125948,0,3,1,1,15155,15,0,0,6761,1
1,136,1,101770.4567,205336.2261,259484,1776,1,1,1,19172,26,7172,23,6723,1
0,137,2,229103.0268,76286.69772,129298,0,4,1,1,29099,15,0,0,6722,0
0,138,2,254747.3744,62210.47371,103302,0,4,1,1,53552,22,700,3,6718,1
0,139,2,200668.2125,106374.0201,160447,0,1,1,1,8578,25,0,0,6716,1
0,140,2,344849.856,40691.09313,15472,0,1,1,1,3500,14,0,0,6715,0
0,141,2,321342.5903,21382.99505,39628,0,1,1,1,0,0,0,0,6711,0
0,142,2,354566.732,50649.79674,6112,0,1,1,1,0,0,0,0,6709,0
0,143,2,329065.9507,27132.72992,31769,0,1,1,1,450,2,450,2,6707,0
0,144,2,231292.2393,75152.33772,126787,0,4,1,1,35021,17,0,0,6701,0
0,145,2,317537.5446,13150.58435,41547,0,3,1,1,16857,17,0,0,6697,0
0,146,2,259865.4145,47046.76129,100640,0,1,1,1,7600,8,1600,5,6708,1
0,147,2,342061.7061,38814.07739,18707,0,1,1,1,100,1,0,0,6693,0
0,148,2,307600.6692,43170.78129,50593,0,5,1,1,58208,17,1500,2,6689,1
0,149,2,274308.3141,30862.53403,84631,0,3,1,1,20415,17,0,0,6736,0
0,150,2,335939.8055,33203.33297,24868,0,1,1,1,205,5,0,0,6689,0
0,151,2,280794.7851,35530.62094,77097,0,4,1,1,42403,22,1718,4,6683,1
1,152,1,596355.6343,897753.3609,930410,0,5,1,1,211284,18,2250,6,7640,1
1,153,1,62010.09713,248038.8461,298121,0,5,1,1,60808,20,500,1,7640,0
0,154,2,273336.8239,35031.37708,87474,0,1,1,1,4581,15,0,0,7634,0
0,155,2,309258.4851,23338.17963,48707,0,4,1,1,37655,14,0,0,7631,1
1,156,1,138060.4883,169939.1162,220081,0,4,1,1,52574,21,500,1,7626,0
1,157,1,146980.7201,158764.6591,212976,0,3,1,1,19926,12,0,0,7624,0
0,158,2,315347.3894,11171.69038,44182,0,3,1,1,12313,12,0,0,7619,1
1,159,1,129996.218,180143.3529,228829,0,5,1,1,59852,21,0,0,7612,1
0,160,2,313448.3679,12582.54581,46823,0,1,1,1,5860,12,0,0,7613,0
0,161,2,289942.3366,15555.62351,69110,0,3,1,1,18500,19,0,0,7598,0
0,162,2,237441.7361,77604.60645,120700,0,5,1,1,55323,17,1500,1,7598,1
0,163,2,206578.7923,98796.86712,152945,0,1,1,1,18604,6,3604,2,7598,1
0,164,2,347874.7775,46643.50418,10302,0,4,1,1,30298,19,0,0,7591,1
0,165,2,279064.7077,26264.51379,80331,0,3,1,1,15489,18,0,0,7634,1
0,166,2,291386.8175,21988.68898,69882,0,1,1,1,180,6,0,0,7582,0
0,167,2,265140.382,42687.30003,95658,0,1,1,1,5269,18,0,0,7584,0
1,168,1,54346.9344,353614.6126,402874,0,5,1,1,74800,15,0,0,7582,1
1,169,1,13283.34113,317995.4296,370941,0,4,1,1,44615,16,0,0,7577,1
0,170,2,336195.5537,44421.74374,21694,0,4,1,1,45230,20,700,2,7575,1
0,171,2,287041.7525,55002.49343,71767,0,5,1,1,67335,13,0,0,7570,1
0,172,2,325118.6312,24269.83793,35820,0,1,1,1,0,0,0,0,7575,0
1,173,1,21458.0775,298328.8457,352508,0,3,1,1,23740,6,1000,2,7563,1
0,174,2,210588.5217,95073.99151,149285,0,1,1,1,15656,13,3250,6,7561,1
0,175,2,236962.6849,71975.77978,120941,0,4,1,1,42301,21,0,0,7588,0
1,176,1,93818.44894,398370.9043,451673,0,4,1,1,43533,19,900,4,7575,1
0,177,2,253652.7557,53354.70575,106961,0,1,1,1,7357,19,200,2,7572,1
0,178,2,331881.2903,27682.11855,28086,1745,2,1,1,7368,12,0,0,7549,1
0,179,2,300883.0806,16322.40618,60230,0,1,1,1,500,1,0,0,7544,1
0,180,2,353882.6505,49847.6992,6663,0,1,1,1,1125,7,750,4,7575,1
0,181,2,311571.4567,8455.541441,48145,0,1,1,1,10735,27,0,0,7540,0
0,182,2,231700.7298,73600.77504,127807,0,3,1,1,17086,16,1500,3,7537,1
0,183,2,327956.8663,26493.9976,32948,0,1,1,1,50,1,50,1,7569,0
0,184,2,350763.355,45977.61461,8933,0,2,1,1,8860,14,0,0,7533,1
0,185,2,308705.7087,10090.47349,49885,0,3,1,1,23640,17,0,0,7533,0
0,186,2,269883.9897,36033.72144,89999,0,3,1,1,11694,13,0,0,7530,0
1,187,1,349442.6288,654117.0683,707079,0,4,1,1,57173,40,3450,12,7523,1
1,188,1,151986.2233,157774.6396,211595,0,1,1,1,3250,8,0,0,7521,0
1,189,1,60514.08575,361241.182,410795,0,5,1,1,73679,31,0,0,7514,0
0,190,2,288709.8351,21982.74356,72173,0,1,1,1,2954,13,232,1,7509,0
0,191,2,305613.3104,235663.1507,123516,0,5,1,1,240544,31,500,2,7507,1
0,192,2,214827.852,93537.11825,143080,733,4,1,1,44373,38,3928,17,7575,1
1,193,1,69420.92964,344417.8192,386061,0,5,1,1,107813,24,0,0,7500,1
0,194,2,308374.6108,15932.53104,52738,2398,1,1,1,0,0,0,0,7498,0
0,195,2,336299.2926,33630.62629,24523,0,1,1,1,100,1,0,0,7493,1
0,196,2,227667.1044,81799.55845,134601,0,1,1,1,0,0,0,0,7493,0
0,197,2,325615.9147,51437.36444,32742,0,5,1,1,61857,26,0,0,7488,1
0,198,2,250775.4233,54309.91301,108341,0,3,1,1,19670,21,0,0,7488,0
0,199,2,350777.8584,45950.30158,8669,0,1,3,1,11397,16,0,0,7486,1
0,200,2,239100.5471,67944.76787,118940,0,4,1,1,36001,17,150,1,7484,1
0,201,2,316986.9404,17755.46297,41385,0,4,1,1,26948,14,0,0,7481,1
0,202,2,330679.3769,25989.10259,28621,0,2,1,1,13878,20,1400,10,7479,1
0,203,2,344471.9951,41016.08266,16230,0,1,1,1,486,2,0,0,7477,0
0,204,2,208024.1544,117781.2401,152881,0,5,1,1,79687,18,500,1,7474,1
0,205,2,323604.439,23110.63023,37348,0,1,1,1,0,0,0,0,7472,0
0,206,2,309305.889,13769.41165,51468,0,1,1,1,2278,9,0,0,7460,0
0,207,2,266217.1066,87506.46921,95989,0,5,1,1,92159,30,1329,4,7518,1
0,208,2,337172.2402,33432.76437,23184,1250,1,1,1,3694,12,1150,3,7467,1
0,209,2,331562.3261,27304.63254,27381,0,3,1,1,18009,18,0,0,7524,1
0,210,2,353833.879,49990.60672,6854,0,1,1,1,0,0,0,0,7467,0
1,211,1,165996.0423,169522.0412,201346,0,5,1,1,99612,34,600,4,7463,1
0,212,2,328926.198,26101.17955,31588,0,1,1,1,2947,8,0,0,7463,0
0,213,2,158384.8442,150677.5048,204582,0,1,1,1,4671,14,0,0,7498,0
0,214,2,350437.0343,46403.50537,8298,0,3,1,1,20087,15,0,0,7498,1
0,215,2,350285.6882,46170.66526,10097,0,1,1,1,2700,1,2700,1,7498,0
0,216,2,244136.7839,61323.39522,114356,0,4,1,1,27308,14,0,0,7456,0
0,217,2,359162.6072,54948.25232,1344,0,1,1,1,1134,9,0,0,7498,0
0,218,2,300423.7434,10467.33216,59797,0,1,1,1,7069,4,0,0,7444,0
0,219,2,170055.3226,135067.6032,189053,0,3,1,1,24156,22,0,0,7439,1
0,220,2,214418.3098,94326.86008,143481,0,4,1,1,45891,15,0,0,7437,0
1,221,1,945307.3688,1250014.412,1302051,2706,5,1,1,90653,32,3050,7,7467,1
1,222,1,130445.8779,183420.7853,229744,0,5,1,1,68754,35,550,2,7467,1
0,223,2,285903.0172,24461.12562,75039,0,1,1,1,2750,10,250,1,7435,1
0,224,2,340497.8898,37250.7588,20203,0,1,1,1,750,6,0,0,7467,0
0,225,2,167322.6026,139768.2941,193976,0,3,1,1,10849,14,0,0,7416,0
0,226,2,262557.307,45101.76624,98224,0,2,1,1,5570,11,0,0,7467,0
0,227,2,243540.9348,63718.6999,117329,0,1,2,1,6448,11,0,0,7416,1
0,228,2,238788.7091,68338.45877,119239,0,4,1,1,36362,15,250,1,7467,1
0,229,2,306446.4777,8834.065597,53715,0,2,1,1,7164,15,300,2,7416,0
0,230,2,204646.1733,108537.1613,153747,0,5,1,1,58689,15,0,0,7409,0
0,231,2,225511.3705,79538.97117,133309,0,3,1,1,23987,13,0,0,7415,1
0,232,2,276776.3313,49433.20209,81380,0,5,1,1,56524,22,0,0,7404,1
0,233,2,338000.881,33721.41665,22074,0,1,1,1,6039,15,0,0,7404,0
0,234,2,335736.4705,31152.16645,24051,0,2,1,1,8764,13,0,0,7395,1
0,235,2,348239.6633,43456.28392,11449,0,2,1,1,9057,13,0,0,7397,1
0,236,2,177337.8555,128109.9459,182317,0,2,1,1,19489,17,273,1,7397,1
0,237,2,314426.8851,15022.75524,46184,0,1,1,1,3125,12,500,1,7388,0
1,238,1,81183.77527,230921.388,285116,0,1,1,1,8471,18,500,1,7406,1
0,239,2,331275.998,85909.49981,30962,0,5,1,1,97683,37,6400,18,7360,1
0,240,2,344758.539,40591.22424,15525,0,1,1,1,3853,6,0,0,7406,0
0,241,2,199410.9481,131790.8487,163530,0,5,1,1,88987,25,0,0,7406,0
0,242,2,357989.8716,53356.86299,2075,0,2,1,1,5002,14,0,0,7374,1
1,243,1,130060.3191,175513.5507,227881,0,4,1,1,41186,13,0,0,7369,0
0,244,2,239949.9532,82358.79537,118934,0,5,1,1,66222,37,2250,17,7354,0
1,245,1,147030.3714,432716.4686,468175,0,5,1,1,141615,22,0,0,7348,1
0,246,2,345567.1323,58591.50138,12526,0,4,1,1,56076,19,3850,11,7375,1
0,247,2,185962.8287,122237.6444,176090,0,1,1,1,5300,9,2200,6,7344,0
0,248,2,344993.4177,40721.76132,15221,0,1,1,1,4425,9,0,0,7361,1
0,249,2,265534.1863,59880.49552,92875,0,5,1,1,60990,14,0,0,7344,1
0,250,2,271428.3599,35012.97627,88702,0,2,1,1,9620,13,50,1,7406,0
0,251,2,298052.2655,16232.68561,62882,0,1,1,1,1925,8,0,0,7375,0
0,252,2,330131.3982,26281.13333,30015,0,1,1,1,5875,32,0,0,7341,0
0,253,2,271556.6813,33743.64965,87293,0,3,1,1,21584,17,1050,2,7406,0
0,254,2,314072.3022,9708.552794,45225,0,3,1,1,14711,15,0,0,7339,1
0,255,2,263731.1537,42004.4663,96098,0,1,1,1,12500,4,0,0,7339,1
1,256,1,122825.2738,187762.6265,236274,0,5,1,1,61515,12,0,0,7375,0
1,257,1,74848.70674,369300.7006,423540,0,1,1,1,8534,14,2100,9,7375,0
0,258,2,333913.5875,29234.18741,25279,0,2,1,1,14938,26,0,0,7327,1
0,259,2,164239.425,144135.4263,198137,0,1,1,1,6303,6,500,1,7323,0
1,260,1,55212.92097,353457.2052,402312,0,5,1,1,77122,18,250,3,7375,1
0,261,2,212717.8254,96593.53944,149733,0,1,1,1,605,3,500,1,7323,0
0,262,2,290375.7527,21809.5096,70730,0,1,1,1,1319,12,0,0,7316,0
0,263,2,196132.5273,110424.3657,164613,0,2,1,1,11095,13,0,0,7375,0
0,264,2,312204.8968,9062.876103,47557,0,2,1,1,10267,18,200,3,7345,0
0,265,2,325170.5116,21920.82309,35065,0,1,1,1,5400,5,1400,3,7311,1
0,266,2,253022.1218,52144.56721,105769,0,3,1,1,23097,16,0,0,7345,1
0,267,2,325037.8133,24170.61399,35900,0,1,1,1,0,0,0,0,7304,0
0,268,2,317385.0704,16278.27021,43088,0,1,1,1,4000,1,0,0,7345,0
0,269,2,299191.3485,31658.93299,58703,0,4,1,1,46473,34,950,4,7296,1
0,270,2,297537.3207,106872.5473,70354,0,5,1,1,120907,22,0,0,7290,1
0,271,2,213681.3146,91540.89771,145726,0,3,1,1,19019,15,0,0,7292,1
0,272,2,237357.6377,85121.49728,121639,0,5,1,1,67286,7,0,0,7288,1
0,273,2,288837.5533,61985.13104,70676,0,5,1,1,74993,15,0,0,7288,1
0,274,2,342249.1186,38539.32038,18263,0,1,1,1,2100,4,1000,2,7285,0
0,275,2,309839.1325,15943.61136,51250,0,1,1,1,0,0,0,0,7283,0
1,276,1,1347238.683,1650527.786,1704838,0,1,1,1,17108,32,4823,23,7283,1
0,277,2,347840.6238,44280.83765,12895,0,1,1,1,0,0,0,0,7277,0
0,278,2,239960.5967,65897.16615,120073,0,3,1,1,12423,29,0,0,7276,1
0,279,2,358525.9122,54339.67159,2003,0,1,1,1,980,2,0,0,7274,0
0,280,2,335497.7943,52979.77377,22652,0,5,1,1,57642,14,0,0,7271,1
0,281,2,193518.8041,114741.1835,168515,0,1,1,1,4600,4,0,0,7269,0
0,282,2,313065.3692,25488.26353,44873,0,4,1,1,38740,18,850,2,7267,1
0,283,2,171171.9273,136440.4456,190542,1745,1,1,1,8487,9,0,0,7267,0
0,284,2,205417.2469,102453.8745,156230,0,1,1,1,5300,8,1300,5,7260,1
0,285,2,278783.8194,33039.80515,79211,0,4,1,1,36776,14,0,0,7260,1
0,286,2,259891.3017,53734.23352,98006,0,4,1,1,46349,20,2309,3,7332,1
0,287,2,324788.1286,56884.87564,33982,0,5,1,1,68320,17,0,0,7255,1
0,288,2,296742.0239,10083.84468,62998,0,2,1,1,11326,24,0,0,7253,0
0,289,2,220386.1006,93790.98248,137908,0,5,1,1,57713,19,0,0,7250,1
0,290,2,312380.6305,24043.54139,45586,0,4,1,1,37459,15,0,0,7246,0
1,291,1,211521.9354,516470.9178,568174,0,5,1,1,67121,16,1000,2,7243,1
0,292,2,217871.1014,121573.3655,145993,0,5,1,1,95082,17,500,1,7229,1
1,293,1,74866.62273,250421.843,294881,0,5,1,1,84800,20,0,0,7279,1
0,294,2,348062.1031,43765.78039,12195,0,1,1,1,3875,17,0,0,7229,0
0,295,2,344144.2946,40811.61906,16622,0,1,1,1,0,0,0,0,7229,0
0,296,2,216130.0456,90902.57004,141813,0,4,1,1,39743,14,0,0,7254,0
0,297,2,299809.8185,23648.46716,58139,500,4,1,1,38408,16,150,1,7227,1
1,298,1,121406.8895,184649.8118,238868,0,3,1,1,20521,16,0,0,7220,0
0,299,2,208618.0422,98759.33297,149286,0,4,1,1,42141,30,2400,13,7222,1
0,300,2,324992.7955,24125.05534,35945,0,1,1,1,0,0,0,0,7220,0
0,301,2,332547.5069,30055.79345,28218,0,1,1,1,750,4,750,4,7232,1
0,302,2,352805.8896,48072.9945,7061,0,1,1,1,7100,12,0,0,7218,0
1,303,1,140133.7299,167034.1292,217846,0,4,1,1,49198,20,0,0,7215,1
1,304,1,17597.82195,310351.7689,364387,0,4,1,1,28200,27,0,0,7213,0
0,305,2,234311.6129,71219.25361,125465,0,3,1,1,14750,9,0,0,7206,0
0,306,2,263779.8121,54365.51831,94222,0,4,1,1,52081,24,0,0,7201,1
0,307,2,237411.8976,69564.59572,123370,0,1,1,1,7478,16,0,0,7197,0
1,308,1,44409.32347,328831.7915,383030,2998,1,1,1,8001,25,3226,15,7326,1
0,309,2,247677.1155,59241.45906,112969,0,2,1,1,7572,7,0,0,7192,0
0,310,2,314318.291,15699.42626,46430,0,1,1,1,2100,4,500,1,7194,0
0,311,2,179004.5809,126070.7188,179433,0,4,1,1,30476,15,0,0,7187,0
0,312,2,337212.5442,40397.78071,20746,0,4,1,1,37534,17,0,0,7185,1
0,313,2,296846.9653,15572.72434,61455,0,4,1,1,28765,17,0,0,7183,1
1,314,1,364584.4603,668523.6082,714717,0,5,1,1,119162,20,1750,4,7183,1
0,315,2,180302.6434,125305.2036,179559,0,3,1,1,17819,12,1000,2,7173,1
0,316,2,240501.7021,66061.97865,119977,2556,1,1,1,9275,16,1400,4,7226,1
